"Store No.","Name","Latitude","Longitude","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Updated Date","Country","Status","Direction URL","NAICS 1","NAICS 2","SIC 1","SIC 2","Stock Ticker"
"001.005.1727","Chili's Franklin","42.927081","-87.9503","6439 South 27th Street","Franklin","WI","53132","Milwaukee","414-761-5889","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/wisconsin/franklin/east-franklin","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/6439+South+27th+Street,+Franklin,+WI,+53132,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0610","Chili's Amherst","42.9847909","-78.822121","1145 Niagara Falls Blvd","Amherst","NY","14226","Erie","716-832-3730","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/new-york/amherst/amherst","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1145+Niagara+Falls+Blvd,+Amherst,+NY,+14226,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1292","Chili's Kerrville","30.059877","-99.168149","1185 Junction Hwy","Kerrville","TX","78028","Kerr","830-895-2445","monday:- 10:45 - 22:00 | tuesday:- 10:45 - 22:00 | wednesday:- 10:45 - 22:00 | thursday:- 10:45 - 22:00 | friday:- 10:45 - 23:00 | saturday:- 10:45 - 23:00 | sunday:- 10:45 - 22:00","https://www.chilis.com/locations/us/texas/kerrville/kerrville","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1185+Junction+Hwy,+Kerrville,+TX,+78028,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0182","Chili's Jackson","32.3798738","-90.1483634","475 Briarwood","Jackson","MS","39206","Hinds","601-957-7090","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/mississippi/jackson/jackson","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/475+Briarwood,+Jackson,+MS,+39206,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1577","Chili's Joplin","37.0744962","-94.4783822","1430 S Range Line Rd","Joplin","MO","64801","Jasper","417-621-0148","monday:- 10:45 - 22:00 | tuesday:- 10:45 - 22:00 | wednesday:- 10:45 - 22:00 | thursday:- 10:45 - 22:00 | friday:- 10:45 - 23:00 | saturday:- 10:45 - 23:00 | sunday:- 10:45 - 22:00","https://www.chilis.com/locations/us/missouri/joplin/joplin","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1430+S+Range+Line+Rd,+Joplin,+MO,+64801,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1466","Chili's Centerville","40.920977","-111.8848709","371 West Parrish Lane","Centerville","UT","84014","Davis","801-397-3500","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/utah/centerville/parrish-lane","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/371+West+Parrish+Lane,+Centerville,+UT,+84014,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1607","Chili's Lake City","30.180996","-82.67961","2893 W Us Highway 90","Lake City","FL","32055","Columbia","386-675-4500","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/lake-city/lake-city","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2893+W+Us+Highway+90,+Lake+City,+FL,+32055,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1592","Chili's Saint Petersburg","27.7910318","-82.7288482","2200 66th St N","Saint Petersburg","FL","33710","Pinellas","727-316-5007","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/saint-petersburg/tyrone-mall-4","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2200+66th+St+N,+Saint+Petersburg,+FL,+33710,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0270","Chili's Orlando","28.5666286","-81.2009977","12181 E Colonial Dr","Orlando","FL","32826","Orange","407-384-6622","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/orlando/alafaya","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/12181+E+Colonial+Dr,+Orlando,+FL,+32826,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0375","Chili's Oviedo","28.6569509","-81.2369274","800 Oviedo Mall Blvd","Oviedo","FL","32765","Seminole","407-366-2263","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/oviedo/oviedo","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/800+Oviedo+Mall+Blvd,+Oviedo,+FL,+32765,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0562","Chili's Orange","33.8092936","-117.8674393","1411 W Katella Ave","Orange","CA","92867","Orange","714-771-4071","monday:- 11:00 - 22:30 | tuesday:- 11:00 - 22:30 | wednesday:- 11:00 - 22:30 | thursday:- 11:00 - 22:30 | friday:- 11:00 - 23:30 | saturday:- 11:00 - 23:30 | sunday:- 11:00 - 22:30","https://www.chilis.com/locations/us/california/orange/orange","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1411+W+Katella+Ave,+Orange,+CA,+92867,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0189","Chili's Ocala","29.1521832","-82.1822292","3501 Sw 36th Ave","Ocala","FL","34474","Marion","352-237-6611","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/ocala/ocala","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/3501+Sw+36th+Ave,+Ocala,+FL,+34474,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1032","Chili's Viera","28.2428156","-80.7291384","6550 Colonnade","Viera","FL","32940","Brevard","321-639-6881","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/viera/viera","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/6550+Colonnade,+Viera,+FL,+32940,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1537","Chili's Miami","25.7789839","-80.186483","Bayside Marketplace 401 Biscayne Blvd N-212","Miami","FL","33132","Miami-Dade","305-373-0601","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/miami/bayside-miami","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/Bayside+Marketplace+401+Biscayne+Blvd+N-212,+Miami,+FL,+33132,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0213","Chili's Miami","25.7847691","-80.336187","8696 Nw 13th Terrace","Miami","FL","33126","Miami-Dade","305-471-8178","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/miami/beacon-center","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/8696+Nw+13th+Terrace,+Miami,+FL,+33126,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0854","Chili's Ennis","32.3332434","-96.617735","1006 East Ennis Avenue","Ennis","TX","75119","Ellis","972-875-3421","monday:- 10:45 - 22:00 | tuesday:- 10:45 - 22:00 | wednesday:- 10:45 - 22:00 | thursday:- 10:45 - 22:00 | friday:- 10:45 - 23:30 | saturday:- 10:45 - 23:30 | sunday:- 10:45 - 22:00","https://www.chilis.com/locations/us/texas/ennis/ennis","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1006+East+Ennis+Avenue,+Ennis,+TX,+75119,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1103","Chili's Kingsport","36.5444602","-82.5180361","1921 N Eastman","Kingsport","TN","37660","Sullivan","423-246-4173","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/tennessee/kingsport/kingsport","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1921+N+Eastman,+Kingsport,+TN,+37660,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"701.041.0002","Chili's Camden","34.250522","-80.646948","1635-A Springdale Drive","Camden","SC","29020","Kershaw","803-713-0002","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 22:00 | saturday:- 11:00 - 22:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/south-carolina/camden/camden-bonnaroo","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1635-A+Springdale+Drive,+Camden,+SC,+29020,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1364","Chili's Redlands","34.0716049","-117.2092332","10020 Alabama St","Redlands","CA","92374","San Bernardino","909-307-2913","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/california/redlands/redlands","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/10020+Alabama+St,+Redlands,+CA,+92374,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0373","Chili's Laredo","27.553528","-99.5048772","5702 San Bernardo","Laredo","TX","78041","Webb","956-725-9939","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/texas/laredo/laredo","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/5702+San+Bernardo,+Laredo,+TX,+78041,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1752","Chili's Springfield","39.766457","-89.7074","2891 S Veterans","Springfield","IL","62704","Sangamon","217-546-8505","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/illinois/springfield/springfield","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2891+S+Veterans,+Springfield,+IL,+62704,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1587","Chili's Palestine","31.734139","-95.612394","2210 S Loop 256","Palestine","TX","75801","Anderson","903-729-1122","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/texas/palestine/palestine","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2210+S+Loop+256,+Palestine,+TX,+75801,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0126","Chili's Tampa","28.0550401","-82.4278193","2794 E Fowler Ave","Tampa","FL","33612","Hillsborough","813-972-1134","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/tampa/fowler","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2794+E+Fowler+Ave,+Tampa,+FL,+33612,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0522","Chili's Bossier City","32.5293829","-93.7005614","3025 E Texas","Bossier City","LA","71111","Bossier Parish","318-752-8700","monday:- 10:45 - 23:00 | tuesday:- 10:45 - 23:00 | wednesday:- 10:45 - 23:00 | thursday:- 10:45 - 23:00 | friday:- 10:45 - 24:00 | saturday:- 10:45 - 24:00 | sunday:- 10:45 - 23:00","https://www.chilis.com/locations/us/louisiana/bossier-city/bossier","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/3025+E+Texas,+Bossier+City,+LA,+71111,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1423","Chili's Austin","30.1575645","-97.7913201","9900 S Ih 35 Ste Z","Austin","TX","78748","Travis","512-280-9300","monday:- 10:45 - 22:00 | tuesday:- 10:45 - 22:00 | wednesday:- 10:45 - 22:00 | thursday:- 10:45 - 22:00 | friday:- 10:45 - 23:00 | saturday:- 10:45 - 23:00 | sunday:- 10:45 - 22:00","https://www.chilis.com/locations/us/texas/austin/southpark-meadows","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/9900+S+Ih+35+Ste+Z,+Austin,+TX,+78748,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0582","Chili's Phoenix","33.6677601","-112.1240616","3039 W Agua Fria Frwy","Phoenix","AZ","85027","Maricopa","623-587-9100","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/arizona/phoenix/deer-valley","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/3039+W+Agua+Fria+Frwy,+Phoenix,+AZ,+85027,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0477","Chili's Goleta","34.4297256","-119.8705608","6950 Market Place Drive","Goleta","CA","93117","Santa Barbara","805-968-8585","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/california/goleta/goleta","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/6950+Market+Place+Drive,+Goleta,+CA,+93117,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0383","Chili's Pittsburgh","40.5412392","-80.0119303","7404 Mcknight Rd","Pittsburgh","PA","15237","Allegheny","412-364-5678","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/pennsylvania/pittsburgh/mcknight-rd","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/7404+Mcknight+Rd,+Pittsburgh,+PA,+15237,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0355","Chili's Orlando","28.4501037","-81.3944648","8002 Golden Sky Ln","Orlando","FL","32809","Orange","407-857-9909","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/orlando/sand-lake","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/8002+Golden+Sky+Ln,+Orlando,+FL,+32809,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1439","Chili's Salinas","36.7197281","-121.6669026","1940 N Davis Rd","Salinas","CA","93907","Monterey","831-444-9113","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/california/salinas/boronda-crossings","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1940+N+Davis+Rd,+Salinas,+CA,+93907,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1595","Chili's Scottsdale","33.538342","-111.888872","8991 East Talking Stick Way","Scottsdale","AZ","85250","Maricopa","480-750-2299","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/arizona/scottsdale/talking-stick","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/8991+East+Talking+Stick+Way,+Scottsdale,+AZ,+85250,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0627","Chili's Brownsville","25.95813","-97.5069049","2750 N Expressway","Brownsville","TX","78526","Cameron","956-574-9955","monday:- 10:45 - 23:00 | tuesday:- 10:45 - 23:00 | wednesday:- 10:45 - 23:00 | thursday:- 10:45 - 23:00 | friday:- 10:45 - 24:00 | saturday:- 10:45 - 24:00 | sunday:- 10:45 - 23:00","https://www.chilis.com/locations/us/texas/brownsville/brownsville","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2750+N+Expressway,+Brownsville,+TX,+78526,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1147","Chili's Pompano Beach","26.2585064","-80.100354","2287 N Federal Hwy","Pompano Beach","FL","33062","Broward","954-941-2974","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/pompano-beach/pompano-beach","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2287+N+Federal+Hwy,+Pompano+Beach,+FL,+33062,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0123","Chili's Tampa","28.0645071","-82.5052302","13050 N Dale Mabry Hwy","Tampa","FL","33618","Hillsborough","813-963-3882","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/tampa/dale-mabry","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/13050+N+Dale+Mabry+Hwy,+Tampa,+FL,+33618,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0637","Chili's Oklahoma City","35.5249611","-97.5354345","5301 N Classen Blvd","Oklahoma City","OK","73118","Oklahoma","405-858-0802","monday:- 10:45 - 22:00 | tuesday:- 10:45 - 22:00 | wednesday:- 10:45 - 22:00 | thursday:- 10:45 - 22:00 | friday:- 10:45 - 24:00 | saturday:- 10:45 - 24:00 | sunday:- 10:45 - 22:00","https://www.chilis.com/locations/us/oklahoma/oklahoma-city/belle-isle","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/5301+N+Classen+Blvd,+Oklahoma+City,+OK,+73118,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1580","Chili's Norman","35.2431878","-97.4813219","2070 24th Ave Nw","Norman","OK","73069","Cleveland","405-364-0530","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/oklahoma/norman/norman-relo","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2070+24th+Ave+Nw,+Norman,+OK,+73069,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
