"Store No.","Name","Latitude","Longitude","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Updated Date","Country","Status","Direction URL","NAICS 1","NAICS 2","SIC 1","SIC 2"
"001.025.0212","Annapolis Mall","38.992227","-76.544482","2100 Annapolis Mall Rd","Annapolis","MD","21401","Anne Arundel","410-266-3584","sunday :- 11:00 - 21:00 | monday :- 11:30 - 21:00 | tuesday :- 11:30 - 21:00 | wednesday :- 11:30 - 21:00 | thursday :- 11:30 - 21:00 | friday :- 11:30 - 22:00 | saturday :- 11:00 - 22:00","https://locations.maggianos.com/locations/Maryland/Annapolis/2100-annapolis-mall-rd","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/2100+Annapolis+Mall+Rd,+Annapolis,+MD,+21401,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0075","Buckhead","33.848496","-84.366604","3368 Peachtree Rd","Atlanta","GA","30326","Fulton","404-816-9650","sunday :- 11:00 - 21:30 | monday :- 11:00 - 21:30 | tuesday :- 11:00 - 21:30 | wednesday :- 11:00 - 21:30 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 22:30 | saturday :- 11:00 - 22:30","https://locations.maggianos.com/locations/Georgia/Atlanta/3368-peachtree-rd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/3368+Peachtree+Rd,+Atlanta,+GA,+30326,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0219","Memorial City","29.781243","-95.543259","602 Memorial City Mall","Houston","TX","77024","Harris","713-461-0692","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Texas/Houston/602-memorial-city-mall","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/602+Memorial+City+Mall,+Houston,+TX,+77024,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0088","Chevy Chase","38.959608","-77.085102","5333 Wisconsin Ave Nw","Washington","DC","20015","District of Columbia","202-966-5500","sunday :- 11:00 - 21:00 | monday :- 11:30 - 22:00 | tuesday :- 11:30 - 22:00 | wednesday :- 11:30 - 22:00 | thursday :- 11:30 - 22:00 | friday :- 11:30 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/District of Columbia/Washington/5333-wisconsin-ave.-nw","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/5333+Wisconsin+Ave+Nw,+Washington,+DC,+20015,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0168","12th & Filbert","39.953004","-75.159615","1201 Filbert St","Philadelphia","PA","19107","Philadelphia","215-567-2020","sunday :- 11:15 - 22:00 | monday :- 11:15 - 22:00 | tuesday :- 11:15 - 22:00 | wednesday :- 11:15 - 22:00 | thursday :- 11:15 - 22:00 | friday :- 10:45 - 22:00 | saturday :- 10:45 - 22:00","https://locations.maggianos.com/locations/Pennsylvania/Philadelphia/1201-filbert-st.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/1201+Filbert+St,+Philadelphia,+PA,+19107,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0207","The Rim","29.60746","-98.600662","17603 W I-10","San Antonio","TX","78257","Bexar","210-451-6000","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Texas/San Antonio/17603-i-10","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/17603+W+I-10,+San+Antonio,+TX,+78257,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0223","Summerlin","36.150973","-115.332016","10940 Rosemary Park Dr","Las Vegas","NV","89135","Clark","702-254-6025","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Nevada/Las Vegas/10940-rosemary-park-drive","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/10940+Rosemary+Park+Dr,+Las+Vegas,+NV,+89135,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0187","Mayfair Mall","43.064546","-88.047599","2500 N Mayfair Rd","Wauwatosa","WI","53226","Milwaukee","414-978-1000","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 21:00 | wednesday :- 11:00 - 21:00 | thursday :- 11:00 - 20:30 | friday :- 11:00 - 22:00 | saturday :- 11:00 - 22:00","https://locations.maggianos.com/locations/Wisconsin/Wauwatosa/2500-n.-mayfair-rd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/2500+N+Mayfair+Rd,+Wauwatosa,+WI,+53226,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0188","Fashion Mall","39.911112","-86.107119","3550 E 86th St","Indianapolis","IN","46240","Marion","317-814-0700","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Indiana/Indianapolis/3550-e.-86th-st.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/3550+E+86th+St,+Indianapolis,+IN,+46240,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0162","Perimeter Mall","33.9237","-84.338099","4400 Ashford Dunwoody Rd Space 3035","Dunwoody","GA","30346","DeKalb","770-804-3313","sunday :- 11:00 - 22:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Georgia/Dunwoody/4400-ashford-dunwoody-rd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/4400+Ashford+Dunwoody+Rd+Space+3035,+Dunwoody,+GA,+30346,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0186","Southpark Mall","35.151299","-80.8285","4400 Sharon Rd","Charlotte","NC","28211","Mecklenburg","704-916-2300","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/North Carolina/Charlotte/4400-sharon-rd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/4400+Sharon+Rd,+Charlotte,+NC,+28211,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0202","The Shops At Riverside","40.908573","-74.032424","70 Riverside Square Mall","Hackensack","NJ","07601","Bergen","201-221-2030","sunday :- 11:00 - 21:00 | monday :- 11:30 - 22:00 | tuesday :- 11:30 - 22:00 | wednesday :- 11:30 - 22:00 | thursday :- 11:30 - 22:00 | friday :- 11:30 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/New Jersey/Hackensack/70-riverside-square","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/70+Riverside+Square+Mall,+Hackensack,+NJ,+07601,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0208","The Domain","30.393841","-97.726343","10910 Domain Dr Suite 100","Austin","TX","78758","Travis","512-501-7870","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Texas/Austin/10910-domain-dr.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/10910+Domain+Dr+Suite+100,+Austin,+TX,+78758,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0190","The Boulevard","38.6356","-90.3456","2 The Blvd Saint Louis","Richmond Heights","MO","63117","St. Louis","314-824-2402","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Missouri/Richmond Heights/2-the-boulevard-saint-louis","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/2+The+Blvd+Saint+Louis,+Richmond+Heights,+MO,+63117,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0179","Denver Tech Center","39.5842","-104.877999","7401 S Clinton St","Englewood","CO","80112","Arapahoe","303-858-1405","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Colorado/Englewood/7401-south-clinton-st.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/7401+S+Clinton+St,+Englewood,+CO,+80112,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0158","Post Oak Blvd","29.745032","-95.461","2019 Post Oak Blvd","Houston","TX","77056","Harris","713-961-2700","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Texas/Houston/2019-post-oak-blvd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/2019+Post+Oak+Blvd,+Houston,+TX,+77056,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0180","Town Center","26.36869","-80.1373","21090 St Andrews Blvd","Boca Raton","FL","33433","Palm Beach","561-361-8244","sunday :- 11:00 - 21:00 | monday :- 10:30 - 22:00 | tuesday :- 10:30 - 22:00 | wednesday :- 10:30 - 22:00 | thursday :- 10:30 - 22:00 | friday :- 10:30 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Florida/Boca Raton/21090-st.-andrews-blvd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/21090+St+Andrews+Blvd,+Boca+Raton,+FL,+33433,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
